Region,Degree,WeightedDegree,MinimumDistance,MaximumDistance,AverageDistance
Region 04,1,155.8012764386,155.8012764386,155.8012764386,155.8012764386
Region 05,2,1254.1767524722002,155.8012764386,1098.3754760336,627.0883762361001
Region 02,2,1785.6249951722,298.7542240768,1486.8707710954,892.8124975861
Region 03,1,1100.5591261076,1100.5591261076,1100.5591261076,1100.5591261076
Region 07,2,2390.4151897468,298.7542240768,2091.66096567,1195.2075948734
Region 01,2,2587.429897203,1100.5591261076,1486.8707710954,1293.7149486015
Region 06,2,3190.0364417036003,1098.3754760336,2091.66096567,1595.0182208518002
