Region,C11,C12,C13,C14,C21,C22,C23,C24,C31,C32,C33,C34,C41,C42,C43,C44
Region 01,26912251.532204513,833663.9278793802,1069.6475204812923,-0.3156555248380214,833663.9278793802,27111.180525431904,33.24200135824517,-0.011823778416746752,1069.6475204812923,33.24200135824517,0.04352273612272835,-1.4933157395997905e-05,-0.3156555248380214,-0.011823778416746752,-1.4933157395997905e-05,2.252501898384454e-08
Region 02,26361779.994665865,712370.5446171423,1046.0342133560348,-0.2902174763505892,712370.5446171423,21170.796469561028,27.705431425522153,0.0007838428547762819,1046.0342133560348,27.705431425522153,0.04499309125755508,-1.0618625008894251e-05,-0.2902174763505892,0.0007838428547762819,-1.0618625008894251e-05,5.019754126082476e-07
Region 03,5696468.608181882,320259.88155860075,368.70064020961075,3.8981561141892334,320259.88155860075,18005.258835028442,20.728635841951448,0.21915735893533406,368.70064020961075,20.728635841951448,0.023863935964770343,0.00025230590279638195,3.8981561141892334,0.21915735893533406,0.00025230590279638195,2.667551098019801e-06
Region 04,76744426.63625027,2458332.3799492843,2652.84728981769,-1.180870056386512,2458332.3799492843,80377.75410898367,84.03583090824509,-0.03508507757705756,2652.84728981769,84.03583090824509,0.09987412379834786,-4.643579002823407e-05,-1.180870056386512,-0.03508507757705756,-4.643579002823407e-05,5.692090713068331e-08
Region 05,108456200.02337828,2069283.7673217808,3795.0836850946007,-1.5163818691842375,2069283.7673217808,40434.296475792034,72.54736006603986,-0.01917304221367113,3795.0836850946007,72.54736006603986,0.13281736512053985,-5.163555358810709e-05,-1.5163818691842375,-0.01917304221367113,-5.163555358810709e-05,1.2107555035285246e-07
Region 06,99300640.13835068,2067143.1106254165,2904.0595132635726,-0.3259044373196858,2067143.1106254165,44621.8272940016,59.995473059515405,-0.006576276947048044,2904.0595132635726,59.995473059515405,0.08647375205050876,-1.0941105738294516e-05,-0.3259044373196858,-0.006576276947048044,-1.0941105738294516e-05,3.758267289432459e-09
Region 07,68004756.85423167,1726795.315674978,2120.4231182928097,-0.49798619323230103,1726795.315674978,62806.034610998104,70.33980810100648,-0.016137848816401894,2120.4231182928097,70.33980810100648,0.08096335491747418,-1.8342246034551678e-05,-0.49798619323230103,-0.016137848816401894,-1.8342246034551678e-05,3.253878389760859e-08
