Region,Degree,Betweenness,Closeness,Eigenvector,PageRank
Region 01,0.3333333333333333,0.13333333333333333,0.00034300964358242566,0.0,0.23898862317890382
Region 02,0.3333333333333333,0.13333333333333333,0.0003430096435824256,0.0,0.17788030327311297
Region 03,0.16666666666666666,0.0,0.00022816557565635224,0.0,0.10783398244117276
Region 04,0.3333333333333333,0.0,0.0004775653163472739,0.0,0.1214810115387867
Region 05,0.3333333333333333,0.0,0.0005315571870970745,0.0,0.11116967619316973
Region 06,0.3333333333333333,0.0,0.0002850776902158116,0.0,0.19592074083947222
Region 07,0.16666666666666666,0.0,0.0003017766593515375,0.0,0.04672566253538182
