Region,Degree,WeightedDegree
Region 01,3,4368.9116881942
Region 02,3,4372.7567290416
Region 03,2,3687.6908599769995
Region 04,2,1395.9696063478002
Region 05,2,1254.1767524722002
Region 06,2,2338.5438059428
Region 07,2,2080.2360150679997
