Source,Target,Distance,EdgeBetweenness,Bridge
Region 06,Region 07,2091.66096567,0.5714285714285714,True
Region 02,Region 07,298.7542240768,0.5714285714285714,True
Region 05,Region 06,1098.3754760336,0.47619047619047616,True
Region 01,Region 02,1486.8707710954,0.47619047619047616,True
Region 01,Region 03,1100.5591261076,0.2857142857142857,True
Region 04,Region 05,155.8012764386,0.2857142857142857,True
