Region,Degree,WeightedDegree,MinimumDistance,MaximumDistance,AverageDistance,mst_edges,mst_minimum,mst_maximum,mst_mean,mst_median,mst_std,mst_variance,mst_coefficient_variation,mst_total_length,mst_max_min_ratio
Region 04,1,155.8012764386,155.8012764386,155.8012764386,155.8012764386,6,155.8012764386,2091.66096567,1038.6703065703334,1099.4673010706001,727.1865580845557,528800.2902588629,0.7001129747183298,6232.021839422001,13.425185040087309
Region 05,2,1254.1767524722002,155.8012764386,1098.3754760336,627.0883762361001,6,155.8012764386,2091.66096567,1038.6703065703334,1099.4673010706001,727.1865580845557,528800.2902588629,0.7001129747183298,6232.021839422001,13.425185040087309
Region 02,2,1785.6249951722,298.7542240768,1486.8707710954,892.8124975861,6,155.8012764386,2091.66096567,1038.6703065703334,1099.4673010706001,727.1865580845557,528800.2902588629,0.7001129747183298,6232.021839422001,13.425185040087309
Region 03,1,1100.5591261076,1100.5591261076,1100.5591261076,1100.5591261076,6,155.8012764386,2091.66096567,1038.6703065703334,1099.4673010706001,727.1865580845557,528800.2902588629,0.7001129747183298,6232.021839422001,13.425185040087309
Region 07,2,2390.4151897468,298.7542240768,2091.66096567,1195.2075948734,6,155.8012764386,2091.66096567,1038.6703065703334,1099.4673010706001,727.1865580845557,528800.2902588629,0.7001129747183298,6232.021839422001,13.425185040087309
Region 01,2,2587.429897203,1100.5591261076,1486.8707710954,1293.7149486015,6,155.8012764386,2091.66096567,1038.6703065703334,1099.4673010706001,727.1865580845557,528800.2902588629,0.7001129747183298,6232.021839422001,13.425185040087309
Region 06,2,3190.0364417036003,1098.3754760336,2091.66096567,1595.0182208518002,6,155.8012764386,2091.66096567,1038.6703065703334,1099.4673010706001,727.1865580845557,528800.2902588629,0.7001129747183298,6232.021839422001,13.425185040087309
