,Region 01,Region 02,Region 03,Region 04,Region 05,Region 06,Region 07
Region 01,0.0,1486.8707710954,1100.5591261076,5110.0848617494,4968.2006661036,3870.2141370745,1781.4817909912
Region 02,1486.8707710954,0.0,2587.1317338694,3623.2465825623,3481.6867702476,2383.5079310138,298.7542240768
Region 03,1100.5591261076,2587.1317338694,0.0,6210.3578312075,6068.6909063672,4970.6180861317,2880.7681526348
Region 04,5110.0848617494,3623.2465825623,6210.3578312075,0.0,155.8012764386,1240.1683299092,3330.3778872649
Region 05,4968.2006661036,3481.6867702476,6068.6909063672,155.8012764386,0.0,1098.3754760336,3190.0245946999
Region 06,3870.2141370745,2383.5079310138,4970.6180861317,1240.1683299092,1098.3754760336,0.0,2091.66096567
Region 07,1781.4817909912,298.7542240768,2880.7681526348,3330.3778872649,3190.0245946999,2091.66096567,0.0
