Region,N,GammaStart,GammaEnd,DeltaGamma,CentroidDiameter,CentroidConvergence,CentroidRecurrence,CentroidDrift,MeanRadius,StdRadius,MaxRadius,InternalDiameter,Compactness,Packing,VarDiameter,VarConvergence,VarRecurrence,VarDrift,Eigenvalue1,Eigenvalue2,Eigenvalue3,Eigenvalue4,Anisotropy,Uniformity,NearestRegionDistance,FarthestRegionDistance,SeparationRatio
Region 01,26,0.25,0.325,0.07500000000000001,3835.008857364223,176.3416704422207,0.328609579378545,0.0001484700546701016,3614.2635196675087,3583.3409871060812,14467.098319871116,17746.407559480333,0.20366169927934108,0.0014650852524859604,25877164.93481203,26068.44281291529,0.041848784733392645,2.165867209985052e-08,26938077.312165137,1285.4430877183872,0.0009998362572530897,1.0656823151168336e-08,0.9999522837975345,0.9914443060410072,1100.559126107573,5110.084861749396,0.3045043949116411
Region 02,13,0.325,0.385,0.06,5320.649420136047,236.81316370244758,0.4103886976322849,0.0003150744092976018,3644.567820524232,3327.2538948963534,12980.281573155577,17137.00588917992,0.21267237953307608,0.000758592258418259,24333950.764306955,19542.27366421018,0.041532084237743155,4.6336191933069e-07,26381031.723236177,1919.1095699826408,0.0033223984718325876,4.5651495406639566e-07,0.9999272593537865,0.9129351019780896,298.75422407682686,3623.2465825622894,0.08197246938152855
Region 03,2,0.385,0.39,0.0050000000000000044,2734.504479660633,165.36431238619937,0.28041944022367826,0.0014597630426797501,1690.3363409220535,0.0,1690.3363409220535,3380.672681844107,0.5,0.0005915982374575907,2848234.304090941,9002.629417514221,0.011931967982385171,1.3337755490099005e-06,5714473.890883514,2.1827874892626863e-11,1.4189554944298993e-18,-4.3216119373435655e-22,1.0,0.0,1100.559126107573,6210.357831207493,0.6510888392231066
Region 04,6,0.39,0.415,0.024999999999999967,8941.943540384118,355.7445926599373,0.4993390884064068,0.00017655811510064996,7019.994157682246,3839.316662458958,14880.821524612662,22781.05012276286,0.3081505953348418,0.0002633767964017072,63953688.86354188,66981.46175748638,0.08322843649862319,4.7434089275569436e-08,76823175.46109627,1629.021509019246,0.007628120191565476,3.201037142222524e-08,0.9999787955316258,0.5469116606396955,155.80127643861675,6210.357831207493,0.022193932493251082
Region 05,3,0.415,0.425,0.010000000000000009,8801.969776222475,287.323966969122,0.466683315661032,0.00020612179058852095,7987.834637362546,2919.8608599153395,11981.669907593972,18881.025560503247,0.4230614810496365,0.00015888967420687287,72304133.34891886,26956.19765052802,0.08854491008035992,8.07170335685683e-08,108495681.282575,953.1700965769729,3.020245507100422e-21,-8.672905386467296e-18,0.9999912147496428,0.36553847099661924,155.80127643861675,6068.690906367211,0.019504819955819694
Region 06,8,0.425,0.46,0.03500000000000003,7703.595024268762,288.58481847167224,0.43708443158778765,7.608179116004855e-05,7946.173887911779,4877.030329890579,18704.508125324955,25043.985957359986,0.31728870561742745,0.0003194379686053506,86888060.12105684,39044.098882251405,0.07566453304419515,3.288483878253402e-09,99343672.66525576,1589.385450657948,0.0014120315788634123,1.370714501412147e-09,0.9999840013823522,0.613758319247182,1098.3754760335842,4970.618086131714,0.13822696199796258
Region 07,9,0.46,0.5,0.03999999999999998,5611.983616891824,302.9831829509851,0.3828743546489075,0.00016470033470600864,5551.532188496161,5448.393412529642,20795.347217625636,25504.76993692007,0.21766642875926911,0.00035287516892955085,60448672.75931704,55827.5863208872,0.07196742659331039,2.892336346454096e-08,68048616.397068,18946.572246213367,0.0004918178803169647,2.814604319723588e-08,0.9997216504909033,0.9814215657111306,298.75422407682686,3330.3778872649445,0.053814733290370335
