Backbone,Nodes,Edges,Density,Connected,AverageDegree,AverageWeight,MinimumWeight,MaximumWeight,Diameter,AveragePath,Efficiency
mst,7,6,0.2857142857142857,True,1.7142857142857142,1038.6703065703334,155.8012764386,2091.66096567,6.0,2955.9812935013715,0.5309523809523808
knn,7,8,0.38095238095238093,False,2.2857142857142856,1218.642841065225,155.8012764386,2587.1317338694,,,
threshold,7,6,0.2857142857142857,False,1.7142857142857142,896.7548672768667,155.8012764386,1486.8707710954,,,
consensus,7,6,0.2857142857142857,False,1.7142857142857142,896.7548672768667,155.8012764386,1486.8707710954,,,
