Region,Degree,Betweenness,Closeness,Eigenvector,PageRank
Region 01,0.5,0.06666666666666667,0.0003433349325996549,0.5185735261987874,0.17171301990410437
Region 02,0.5,0.0,0.0003430330322374835,0.5914480132055945,0.16693137086232793
Region 03,0.3333333333333333,0.0,0.00022831982353283426,0.5469685263373563,0.14214580220496045
Region 04,0.3333333333333333,0.0,0.0004775653163472739,5.195229334929881e-10,0.1214810115387867
Region 05,0.3333333333333333,0.0,0.0005315571870970745,4.691786295169522e-10,0.11116967619316973
Region 06,0.3333333333333333,0.0,0.0002850776902158116,6.514766628184877e-10,0.19592074083947222
Region 07,0.3333333333333333,0.0,0.0003022805902420723,0.2865243040254201,0.09063837845717912
