,Region 01,Region 02,Region 03,Region 04,Region 05,Region 06,Region 07
Region 01,0.0,1486.8707710954432,1100.559126107573,5110.084861749396,4968.20066610357,3870.2141370745258,1781.4817909912379
Region 02,1486.8707710954432,0.0,2587.1317338694435,3623.2465825622894,3481.686770247644,2383.507931013801,298.75422407682686
Region 03,1100.559126107573,2587.1317338694435,0.0,6210.357831207493,6068.690906367211,4970.618086131714,2880.768152634809
Region 04,5110.084861749396,3623.2465825622894,6210.357831207493,0.0,155.80127643861675,1240.1683299092,3330.3778872649445
Region 05,4968.20066610357,3481.686770247644,6068.690906367211,155.80127643861675,0.0,1098.3754760335842,3190.0245946998953
Region 06,3870.2141370745258,2383.507931013801,4970.618086131714,1240.1683299092,1098.3754760335842,0.0,2091.6609656700475
Region 07,1781.4817909912379,298.75422407682686,2880.768152634809,3330.3778872649445,3190.0245946998953,2091.6609656700475,0.0
