Region,Degree,Betweenness,Closeness,Eigenvector,PageRank
Region 01,0.3333333333333333,0.3333333333333333,0.0003268425133255736,0.0,0.19617317926442482
Region 02,0.3333333333333333,0.5333333333333333,0.000431752435878169,0.0,0.13597929692905947
Region 03,0.16666666666666666,0.0,0.0002514641433322777,0.0,0.09235469706790493
Region 04,0.16666666666666666,0.0,0.0003035839260065851,0.0,0.034283239381577735
Region 05,0.3333333333333333,0.3333333333333333,0.00031604087821776036,0.0,0.12173835428948358
Region 06,0.3333333333333333,0.5333333333333333,0.0003824150412320446,0.0,0.24317571385855588
Region 07,0.3333333333333333,0.6,0.00044123816392287624,0.0,0.17629551920899372
