region_id,gamma_start,gamma_end,length,mean_distance,max_distance,classification
R001,0.25,0.325,0.07500000000000001,0.9375420992157956,5.298771938435622,Region 01
R002,0.325,0.385,0.06,2.2375230486693964,7.127796261720338,Region 02
R003,0.385,0.39,0.0050000000000000044,6.711670941900543,6.711670941900543,Region 03
R004,0.39,0.415,0.024999999999999967,3.9756189286601504,5.748365996503467,Region 04
R005,0.415,0.425,0.010000000000000009,3.3191774881037683,4.795619257649332,Region 05
R006,0.425,0.46,0.03500000000000003,1.8244148370416287,6.191354146897713,Region 06
R007,0.46,0.5,0.03999999999999998,1.5538232882351255,4.662863639678409,Region 07
