Region,Degree,WeightedDegree
Region 01,2,2587.429897203
Region 02,2,1785.6249951722
Region 03,1,1100.5591261076
Region 04,2,1395.9696063478002
Region 05,2,1254.1767524722002
Region 06,2,2338.5438059428
Region 07,1,298.7542240768
