Level,Source,Target,Distance,CumulativeDistance
1,Region 04,Region 05,155.8012764386,155.8012764386
2,Region 02,Region 07,298.7542240768,454.5555005154
3,Region 05,Region 06,1098.3754760336,1552.9309765490002
4,Region 01,Region 03,1100.5591261076,2653.4901026566004
5,Region 01,Region 02,1486.8707710954,4140.360873752001
6,Region 06,Region 07,2091.66096567,6232.021839422001
