graph,nodes,edges,density,connected,components,average_degree
mst,7,6,0.2857142857142857,True,1,1.7142857142857142
knn,7,8,0.38095238095238093,False,2,2.2857142857142856
threshold,7,6,0.2857142857142857,False,2,1.7142857142857142
consensus,7,6,0.2857142857142857,False,2,1.7142857142857142
